Надо брать,Текст сообщения,Дата,Время,Канал,Тайминг,Проверка,Причина ошибки
Возможно,"🛢#нефть #ормуз Нефть движется через Ормуз ""очень тихо"" — генеральный директор Total",24.08.2026,12:48,MarketTwits,24.08.2026 12:48:46,Не важно,Потому что это касается комментария генерального директора тотал
Возможно,"❗️🇷🇺#OZON Минэкономразвития рассмотрит и проработает потенциальные меры поддержки OZON и селлеров маркетплейса, пострадавших вследствие атак БПЛА, в случае поступления соответствующего обращения от маркетплейса, рассказали ""Интерфаксу"" в пресс-службе министерства.",24.08.2026,13:01,MarketTwits,24.08.2026 13:01:37,Важно,Потому что это касается поддержки конкретной компании во время атаки на неё беспилотных аппаратов со стороны Украины
Возможно,🛢#нефть #бензин Рынок bearish по нефти и bullish по нефтепродуктам -- CEO Total,24.08.2026,13:14,MarketTwits,24.08.2026 13:14:31,Не важно,Потому что это просто какой-то абстрактный коммент от Сеу тотал
Возможно,🇮🇳🇷🇺#UNAC Мантуров отметил высокий интерес Индии к самолетам SJ-100 и Ил-114-300 - ТАСС,24.08.2026,13:23,MarketTwits,24.08.2026 13:23:08,Не важно,Потому что это какой-то потенциальный коммент о покупках каких-то самолётов всем срать на это
Возможно,🇷🇺#KZOS 25 сентября - Казаньоргсинтез - ВОСА по утверждению Устава в новой редакции,24.08.2026,13:47,MarketTwits,24.08.2026 13:47:08,ок,Ошибки нет
Важно,"🚫🛢#нефть #иран #геополитика США пригрозили Ирану масштабными санкциями, Тегеран ответил угрозой остановить весь экспорт нефти — RTRS",24.08.2026,13:56,MarketTwits,24.08.2026 13:56:35,ок,Ошибки нет
Важно,"🇷🇺🇮🇳#удобрения #россия #индия Россия наращивает поставки удобрений для сельского хозяйства Индии, готова это делать и дальше — Путин",24.08.2026,14:14,MarketTwits,24.08.2026 14:14:41,ок,Ошибки нет
Важно,"🇷🇺🇮🇳#торговля #россия #индия Россия и Индия продолжают работу практически по всем направлениям, товарооборот между странами растет — Путин",24.08.2026,14:19,MarketTwits,24.08.2026 14:19:36,ок,Ошибки нет
Возможно,"❗️🛢#нефть #интервенции #мэа ГЛАВА МЭА : - НА ДАННЫЙ МОМЕНТ НЕ РАССМАТРИВАЕМ ВЫСВОБОЖДЕНИЯ ИЗ РЕЗЕРВОВ НОВЫХ ОБЪЕМОВ НЕФТИ - В РЕЗЕРВАХ СТРАН МЭА ОСТАЛОСЬ 80% ЗАПАСОВ, РАНЕЕ НА РЫНОК БЫЛО ВЫСВОБОЖДЕНО 20% - ОКОЛО 400 МЛН БАРРЕЛЕЙ НЕФТИ - НАБЛЮДАЕМ ЗА РЫНКОМ ОЧЕНЬ ВНИМАТЕЛЬНО",24.08.2026,14:33,MarketTwits,24.08.2026 14:33:57,Не важно,Потому что это касается комментария М а рынки нефти в целом
Важно,"❗️🇷🇺#геополитика #россия ПУТИН ПОДПИСАЛ УКАЗ О МЕРАХ ПО ОБЕСПЕЧЕНИЮ БЕЗОПАСНОСТИ ОБЪЕКТОВ КРИТИЧЕСКОЙ ИНФРАСТРУКТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ВЛАСТИ РФ СМОГУТ ВВОДИТЬ ВРЕМЕННОЕ УПРАВЛЕНИЕ НА ОБЪЕКТАХ ИНФРАСТРУКТУРЫ, ВЛАДЕЛЬЦЫ КОТОРЫХ НЕ БУДУТ ПРИНИМАТЬ МЕР БЕЗОПАСНОСТИ - УКАЗ РЕШЕНИЕ О ВРЕМЕННОМ УПРАВЛЕНИИ НА ПРЕДПРИЯТИЯХ, ВКЛЮЧАЯ СФЕРУ ТЭК, МОЖЕТ БЫТЬ ПРИНЯТО В ТОМ ЧИСЛЕ ПРИ ЗАДЕРЖКЕ ИХ ВОССТАНОВЛЕНИЯ - УКАЗ",24.08.2026,14:59,MarketTwits,24.08.2026 14:59:16,ок,Ошибки нет
Важно,"⚠️🇺🇸🇮🇷#санкции #иран МИНФИН США ВВЕДЕТ ВТОРИЧНЫЕ САНКЦИИ ПРОТИВ ЛЮБОЙ ДЕЯТЕЛЬНОСТИ В ОПРЕДЕЛЕННЫХ СЕКТОРАХ ИРАНА — RTRS Ожидается, что Минфин США объявит о расширении сферы вторичных санкций в отношении стран и организаций, ведущих бизнес с Ираном — источник, знакомый с планами Бессента- RTRS",24.08.2026,15:34,MarketTwits,24.08.2026 15:34:47,ок,Ошибки нет
Возможно,⬆️🌕#золото ралли в золоте продолжается,24.08.2026,15:40,MarketTwits,24.08.2026 15:40:39,Не важно,Потому что это просто констатация роста цен на золото всем пофиг
Важно,⚠️🇺🇸🇮🇷#иран #санкции #геополитика #трамп ТРАМП: ИРАН ПОЛНОСТЬЮ РАЗВАЛИВАЕТСЯ!!!,24.08.2026,15:43,MarketTwits,24.08.2026 15:43:03,ок,Ошибки нет
Важно,🇷🇺#BTBR #отчетность B2B-РТС МСФО 1П 2026 Выручка = +15% прибыль = +9.4% отчет,24.08.2026,15:54,MarketTwits,24.08.2026 15:54:13,ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика Визит Уиткоффа и Кушнера в Россию откладывается, так как для него нет достаточной повестки, заявил ТАСС гендиректор Российского совета по международным делам Тимофеев",24.08.2026,16:20,MarketTwits,24.08.2026 16:20:39,ок,Ошибки нет
Возможно,"❗️🇷🇺#OZON Склады и логистические объекты вошли в перечень критической инфраструктуры, над которой правительство сможет вводить временное управление.",24.08.2026,16:21,MarketTwits,24.08.2026 16:21:30,Ок,Ошибки нет
